Entry	Gene ontology (GO)	yourlist:M20170516A7434721E10EE6586998A056CCD0537EB52514A
P35998	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic proteasome complex [GO:0031597]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; membrane [GO:0016020]; nuclear proteasome complex [GO:0031595]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]; secretory granule lumen [GO:0034774]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; proteasome-activating ATPase activity [GO:0036402]; TBP-class protein binding [GO:0017025]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; neutrophil degranulation [GO:0043312]; NIK/NF-kappaB signaling [GO:0038061]; osteoblast differentiation [GO:0001649]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein polyubiquitination [GO:0000209]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of mRNA stability [GO:0043488]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell receptor signaling pathway [GO:0050852]; transmembrane transport [GO:0055085]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; ubiquitin-dependent ERAD pathway [GO:0030433]; ubiquitin-dependent protein catabolic process [GO:0006511]; viral process [GO:0016032]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]	P35998
Q99460	azurophil granule lumen [GO:0035578]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle [GO:0005838]; enzyme regulator activity [GO:0030234]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; neutrophil degranulation [GO:0043312]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein polyubiquitination [GO:0000209]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of mRNA stability [GO:0043488]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell receptor signaling pathway [GO:0050852]; transmembrane transport [GO:0055085]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]	Q99460
O00231	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; secretory granule lumen [GO:0034774]; structural molecule activity [GO:0005198]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; neutrophil degranulation [GO:0043312]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein polyubiquitination [GO:0000209]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of mRNA stability [GO:0043488]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; stem cell differentiation [GO:0048863]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell receptor signaling pathway [GO:0050852]; transmembrane transport [GO:0055085]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; ubiquitin-dependent protein catabolic process [GO:0006511]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]	O00231
Q13200	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle [GO:0005838]; secretory granule lumen [GO:0034774]; enzyme regulator activity [GO:0030234]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; neutrophil degranulation [GO:0043312]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein polyubiquitination [GO:0000209]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of mRNA stability [GO:0043488]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell receptor signaling pathway [GO:0050852]; transmembrane transport [GO:0055085]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]	Q13200
P55036	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]; identical protein binding [GO:0042802]; polyubiquitin binding [GO:0031593]; RNA binding [GO:0003723]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein polyubiquitination [GO:0000209]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of mRNA stability [GO:0043488]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell receptor signaling pathway [GO:0050852]; transmembrane transport [GO:0055085]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]	P55036
Q15008	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; nucleoplasm [GO:0005654]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle [GO:0005838]; secretory granule lumen [GO:0034774]; ATPase activity [GO:0016887]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; neutrophil degranulation [GO:0043312]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein polyubiquitination [GO:0000209]; proteolysis [GO:0006508]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of mRNA stability [GO:0043488]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell receptor signaling pathway [GO:0050852]; transmembrane transport [GO:0055085]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]	Q15008
P51665	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome regulatory particle [GO:0005838]; secretory granule lumen [GO:0034774]; protein homodimerization activity [GO:0042803]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; neutrophil degranulation [GO:0043312]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein polyubiquitination [GO:0000209]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of mRNA stability [GO:0043488]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell receptor signaling pathway [GO:0050852]; transmembrane transport [GO:0055085]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]	P51665
P48556	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle [GO:0005838]; proteasome regulatory particle, lid subcomplex [GO:0008541]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of protein targeting to mitochondrion [GO:1903955]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein polyubiquitination [GO:0000209]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of mRNA stability [GO:0043488]; regulation of protein stability [GO:0031647]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell receptor signaling pathway [GO:0050852]; transmembrane transport [GO:0055085]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]	P48556
O60783	mitochondrial inner membrane [GO:0005743]; mitochondrial ribosome [GO:0005761]; mitochondrial small ribosomal subunit [GO:0005763]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; mitochondrial translational elongation [GO:0070125]; mitochondrial translational termination [GO:0070126]; translation [GO:0006412]	O60783
Q6NVY1	extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; 3-hydroxyisobutyryl-CoA hydrolase activity [GO:0003860]; branched-chain amino acid catabolic process [GO:0009083]; valine catabolic process [GO:0006574]	Q6NVY1
P25325	cell junction [GO:0030054]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; synapse [GO:0045202]; 3-mercaptopyruvate sulfurtransferase activity [GO:0016784]; identical protein binding [GO:0042802]; thiosulfate sulfurtransferase activity [GO:0004792]; cyanate catabolic process [GO:0009440]; hydrogen sulfide biosynthetic process [GO:0070814]; kidney development [GO:0001822]; liver development [GO:0001889]; response to toxic substance [GO:0009636]; spinal cord development [GO:0021510]; transsulfuration [GO:0019346]	P25325
Q9BZE1	mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; mitochondrial translational elongation [GO:0070125]; mitochondrial translational termination [GO:0070126]; translation [GO:0006412]	Q9BZE1
Q9BRJ2	mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; RNA binding [GO:0003723]; mitochondrial translational elongation [GO:0070125]; mitochondrial translational termination [GO:0070126]	Q9BRJ2
Q86XE5	extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; 4-hydroxy-2-oxoglutarate aldolase activity [GO:0008700]; protein homodimerization activity [GO:0042803]; 4-hydroxyproline catabolic process [GO:0019470]; glyoxylate catabolic process [GO:0009436]; glyoxylate metabolic process [GO:0046487]; oxalate metabolic process [GO:0033609]; pyruvate biosynthetic process [GO:0042866]	Q86XE5
