Counter,Accession,Description,Sum(Coverage),Sum(# Proteins),Sum(# Unique Peptides),Sum(# Peptides),Sum(# PSMs),# Peptides A2,# Peptides B2,# Peptides C2,# PSM A2,# PSM B2,# PSM C2,Coverage A2,Coverage B2,Coverage C2,Score A2,Score B2,Score C2,# AAs,MW [kDa],calc. pI
1,O00231,26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens GN=PSMD11 PE=1 SV=3 - [PSD11_HUMAN],2.37%,1,1,1,1,,,1,,,1,,,2.37%,,,0,422,47.4,6.48
1,Q13200,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3 - [PSMD2_HUMAN],5.62%,1,3,3,3,1,1,1,1,1,1,1.65%,2.53%,1.43%,0,0,0,908,100.1,5.2
1,P55036,26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens GN=PSMD4 PE=1 SV=1 - [PSMD4_HUMAN],4.51%,1,1,1,3,1,,1,2,,1,4.51%,,4.51%,0,,0,377,40.7,4.79
1,Q15008,26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens GN=PSMD6 PE=1 SV=1 - [PSMD6_HUMAN],2.31%,1,1,1,1,,1,,,1,,,2.31%,,,0,,389,45.5,5.62
1,P51665,26S proteasome non-ATPase regulatory subunit 7 OS=Homo sapiens GN=PSMD7 PE=1 SV=2 - [PSMD7_HUMAN],19.44%,1,4,4,6,,2,3,,3,3,,8.33%,15.74%,,0,0,324,37,6.77
1,P48556,26S proteasome non-ATPase regulatory subunit 8 OS=Homo sapiens GN=PSMD8 PE=1 SV=2 - [PSMD8_HUMAN],7.14%,1,3,3,3,,1,2,,1,2,,4.29%,7.14%,,0,0,350,39.6,9.7
1,O60783,"28S ribosomal protein S14, mitochondrial OS=Homo sapiens GN=MRPS14 PE=1 SV=1 - [RT14_HUMAN]",10.16%,1,1,1,1,,,1,,,1,,,10.16%,,,0,128,15.1,11.41
1,Q6NVY1,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Homo sapiens GN=HIBCH PE=1 SV=2 - [HIBCH_HUMAN]",2.85%,1,1,1,2,,1,1,,1,1,,2.85%,2.85%,,0,0,386,43.5,8.19
1,P25325,3-mercaptopyruvate sulfurtransferase OS=Homo sapiens GN=MPST PE=1 SV=3 - [THTM_HUMAN],2.02%,2,1,1,1,,1,,,1,,,2.02%,,,0,,297,33.2,6.6
1,Q9BZE1,"39S ribosomal protein L37, mitochondrial OS=Homo sapiens GN=MRPL37 PE=1 SV=2 - [RM37_HUMAN]",3.31%,1,1,1,1,1,,,1,,,3.31%,,,0,,,423,48.1,8.59
1,Q9BRJ2,"39S ribosomal protein L45, mitochondrial OS=Homo sapiens GN=MRPL45 PE=1 SV=2 - [RM45_HUMAN]",2.94%,1,1,1,1,,,1,,,1,,,2.94%,,,0,306,35.3,9.03
1,Q86XE5,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial OS=Homo sapiens GN=HOGA1 PE=1 SV=1 - [HOGA1_HUMAN]",13.76%,1,1,1,1,,1,,,1,,,13.76%,,,0,,327,35.2,7.96
1,P46783,40S ribosomal protein S10 OS=Homo sapiens GN=RPS10 PE=1 SV=1 - [RS10_HUMAN],35.15%,2,5,5,18,3,3,3,6,6,6,23.64%,29.09%,20.61%,0,2.13,0,165,18.9,10.15
1,P62280,40S ribosomal protein S11 OS=Homo sapiens GN=RPS11 PE=1 SV=3 - [RS11_HUMAN],13.29%,1,2,2,2,,1,1,,1,1,,6.33%,6.96%,,0,0,158,18.4,10.3
1,P25398,40S ribosomal protein S12 OS=Homo sapiens GN=RPS12 PE=1 SV=3 - [RS12_HUMAN],7.58%,1,1,1,1,,1,,,1,,,7.58%,,,0,,132,14.5,7.21
1,P62277,40S ribosomal protein S13 OS=Homo sapiens GN=RPS13 PE=1 SV=2 - [RS13_HUMAN],27.81%,1,3,3,4,1,2,1,1,2,1,8.61%,17.88%,9.93%,0,0,0,151,17.2,10.54
1,P62263,40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE=1 SV=3 - [RS14_HUMAN],8.61%,1,2,2,6,1,2,2,1,2,3,7.28%,8.61%,8.61%,0,0,0,151,16.3,10.05
1,P62244,40S ribosomal protein S15a OS=Homo sapiens GN=RPS15A PE=1 SV=2 - [RS15A_HUMAN],7.69%,1,1,1,1,,,1,,,1,,,7.69%,,,0,130,14.8,10.13
1,P62249,40S ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2 - [RS16_HUMAN],23.97%,1,3,3,3,,1,2,,1,2,,8.22%,15.75%,,0,0,146,16.4,10.21
1,P08708,40S ribosomal protein S17 OS=Homo sapiens GN=RPS17 PE=1 SV=2 - [RS17_HUMAN],19.26%,1,1,1,1,,,1,,,1,,,19.26%,,,0,135,15.5,9.85
1,P62269,40S ribosomal protein S18 OS=Homo sapiens GN=RPS18 PE=1 SV=3 - [RS18_HUMAN],3.95%,1,1,1,2,,,1,,,2,,,3.95%,,,0,152,17.7,10.99
1,P39019,40S ribosomal protein S19 OS=Homo sapiens GN=RPS19 PE=1 SV=2 - [RS19_HUMAN],6.90%,1,1,1,6,1,1,1,4,1,1,6.90%,6.90%,6.90%,1.7,0,0,145,16.1,10.32
1,P15880,40S ribosomal protein S2 OS=Homo sapiens GN=RPS2 PE=1 SV=2 - [RS2_HUMAN],16.38%,1,5,5,8,1,3,4,1,3,4,3.75%,8.53%,15.36%,0,0,0,293,31.3,10.24
1,P60866,40S ribosomal protein S20 OS=Homo sapiens GN=RPS20 PE=1 SV=1 - [RS20_HUMAN],12.61%,1,2,2,10,1,1,2,3,3,4,12.61%,12.61%,12.61%,0,0,0,119,13.4,9.94
1,P63220,40S ribosomal protein S21 OS=Homo sapiens GN=RPS21 PE=1 SV=1 - [RS21_HUMAN],18.07%,1,2,2,4,,2,1,,2,2,,18.07%,10.84%,,0,0,83,9.1,8.5
1,P62266,40S ribosomal protein S23 OS=Homo sapiens GN=RPS23 PE=1 SV=3 - [RS23_HUMAN],8.39%,1,1,1,1,,,1,,,1,,,8.39%,,,0,143,15.8,10.49
1,P62847,40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1 - [RS24_HUMAN],20.30%,1,2,2,3,,1,1,,1,2,,11.28%,9.02%,,0,0,133,15.4,10.78
1,P42677,40S ribosomal protein S27 OS=Homo sapiens GN=RPS27 PE=1 SV=3 - [RS27_HUMAN],14.29%,1,1,1,1,,1,,,1,,,14.29%,,,0,,84,9.5,9.45
1,P23396,40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2 - [RS3_HUMAN],26.75%,1,4,4,18,1,4,1,7,5,6,10.70%,26.75%,10.70%,0,0,0,243,26.7,9.66
1,P61247,40S ribosomal protein S3a OS=Homo sapiens GN=RPS3A PE=1 SV=2 - [RS3A_HUMAN],7.20%,1,2,2,3,1,,1,2,,1,3.79%,,3.41%,0,,0,264,29.9,9.73
1,P62701,"40S ribosomal protein S4, X isoform OS=Homo sapiens GN=RPS4X PE=1 SV=2 - [RS4X_HUMAN]",9.89%,3,4,4,12,2,3,2,2,7,3,4.56%,7.60%,6.84%,0,0,0,263,29.6,10.15
1,P46782,40S ribosomal protein S5 OS=Homo sapiens GN=RPS5 PE=1 SV=4 - [RS5_HUMAN],14.22%,1,2,2,2,2,,,2,,,14.22%,,,0,,,204,22.9,9.72
1,P62753,40S ribosomal protein S6 OS=Homo sapiens GN=RPS6 PE=1 SV=1 - [RS6_HUMAN],4.82%,1,1,1,1,,,1,,,1,,,4.82%,,,0,249,28.7,10.84
1,P62081,40S ribosomal protein S7 OS=Homo sapiens GN=RPS7 PE=1 SV=1 - [RS7_HUMAN],22.16%,1,4,4,10,2,3,2,3,5,2,10.31%,18.04%,17.53%,0,0,0,194,22.1,10.1
1,P62241,40S ribosomal protein S8 OS=Homo sapiens GN=RPS8 PE=1 SV=2 - [RS8_HUMAN],6.25%,1,1,1,1,,1,,,1,,,6.25%,,,0,,208,24.2,10.32
1,P46781,40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=3 - [RS9_HUMAN],7.73%,1,2,2,2,,,2,,,2,,,7.73%,,,0,194,22.6,10.65
1,P08865,40S ribosomal protein SA OS=Homo sapiens GN=RPSA PE=1 SV=4 - [RSSA_HUMAN],16.27%,1,3,3,8,1,2,2,1,4,3,4.75%,10.51%,10.51%,0,0,0,295,32.8,4.87
1,P08195,4F2 cell-surface antigen heavy chain OS=Homo sapiens GN=SLC3A2 PE=1 SV=3 - [4F2_HUMAN],3.17%,1,2,2,3,,,2,,,3,,,3.17%,,,2.11,630,68,5.01
1,P54619,5'-AMP-activated protein kinase subunit gamma-1 OS=Homo sapiens GN=PRKAG1 PE=1 SV=1 - [AAKG1_HUMAN],3.32%,1,1,1,1,,1,,,1,,,3.32%,,,0,,331,37.6,6.92
1,P52209,"6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens GN=PGD PE=1 SV=3 - [6PGD_HUMAN]",7.45%,1,3,3,3,,2,1,,2,1,,5.18%,2.28%,,0,0,483,53.1,7.23
1,P10809,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2 - [CH60_HUMAN]",5.93%,1,3,3,7,1,2,2,2,3,2,2.09%,3.66%,4.36%,0,0,0,573,61,5.87
1,P10155,60 kDa SS-A/Ro ribonucleoprotein OS=Homo sapiens GN=TROVE2 PE=1 SV=2 - [RO60_HUMAN],2.23%,1,1,1,1,,1,,,1,,,2.23%,,,0,,538,60.6,8.03
1,P05388,60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1 - [RLA0_HUMAN],9.46%,2,2,2,5,1,2,1,2,2,1,3.79%,9.46%,5.68%,0,0,0,317,34.3,5.97
1,P05387,60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1 - [RLA2_HUMAN],36.52%,1,3,3,12,2,3,1,4,7,1,19.13%,36.52%,16.52%,0,2.26,0,115,11.7,4.54
1,P27635,60S ribosomal protein L10 OS=Homo sapiens GN=RPL10 PE=1 SV=4 - [RL10_HUMAN],24.30%,2,3,3,9,1,2,3,4,2,3,5.14%,10.75%,24.30%,0,0,0,214,24.6,10.08
1,P62906,60S ribosomal protein L10a OS=Homo sapiens GN=RPL10A PE=1 SV=2 - [RL10A_HUMAN],5.53%,1,1,1,1,,,1,,,1,,,5.53%,,,0,217,24.8,9.94
1,P62913,60S ribosomal protein L11 OS=Homo sapiens GN=RPL11 PE=1 SV=2 - [RL11_HUMAN],14.04%,1,2,2,6,1,2,1,1,3,2,8.99%,14.04%,8.99%,0,0,0,178,20.2,9.6
1,P30050,60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1 - [RL12_HUMAN],43.03%,1,4,4,5,,2,3,,2,3,,25.45%,29.09%,,0,0,165,17.8,9.42
1,P26373,60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4 - [RL13_HUMAN],14.22%,1,3,3,3,,1,2,,1,2,,3.79%,10.43%,,0,0,211,24.2,11.65
1,P40429,60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2 - [RL13A_HUMAN],15.27%,2,3,3,3,,2,1,,2,1,,9.85%,5.42%,,0,0,203,23.6,10.93
1,P61313,60S ribosomal protein L15 OS=Homo sapiens GN=RPL15 PE=1 SV=2 - [RL15_HUMAN],20.59%,1,4,4,7,,3,3,,3,4,,13.73%,17.16%,,0,0,204,24.1,11.62
1,P18621,60S ribosomal protein L17 OS=Homo sapiens GN=RPL17 PE=1 SV=3 - [RL17_HUMAN],10.87%,1,2,2,2,,,2,,,2,,,10.87%,,,0,184,21.4,10.17
1,Q07020,60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=2 - [RL18_HUMAN],10.64%,1,2,2,2,,1,1,,1,1,,3.72%,6.91%,,0,0,188,21.6,11.72
1,Q02543,60S ribosomal protein L18a OS=Homo sapiens GN=RPL18A PE=1 SV=2 - [RL18A_HUMAN],16.48%,1,3,3,5,1,1,2,2,1,2,5.11%,5.11%,11.36%,0,0,0,176,20.7,10.71
1,P46778,60S ribosomal protein L21 OS=Homo sapiens GN=RPL21 PE=1 SV=2 - [RL21_HUMAN],6.88%,1,1,1,6,1,1,1,3,2,1,6.88%,6.88%,6.88%,0,1.73,0,160,18.6,10.49
1,P35268,60S ribosomal protein L22 OS=Homo sapiens GN=RPL22 PE=1 SV=2 - [RL22_HUMAN],10.16%,1,1,1,1,,1,,,1,,,10.16%,,,0,,128,14.8,9.19
1,P62829,60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1 - [RL23_HUMAN],23.57%,1,4,4,8,,2,2,,6,2,,7.86%,15.71%,,0,0,140,14.9,10.51
1,P83731,60S ribosomal protein L24 OS=Homo sapiens GN=RPL24 PE=1 SV=1 - [RL24_HUMAN],38.85%,1,5,5,14,3,3,4,5,3,6,22.29%,27.39%,33.12%,0,0,0,157,17.8,11.25
1,P61254,60S ribosomal protein L26 OS=Homo sapiens GN=RPL26 PE=1 SV=1 - [RL26_HUMAN],20.69%,2,3,3,4,2,2,,2,2,,15.86%,11.03%,,0,0,,145,17.2,10.55
1,P46776,60S ribosomal protein L27a OS=Homo sapiens GN=RPL27A PE=1 SV=2 - [RL27A_HUMAN],7.43%,1,1,1,3,,1,1,,2,1,,7.43%,7.43%,,0,0,148,16.6,11
1,P46779,60S ribosomal protein L28 OS=Homo sapiens GN=RPL28 PE=1 SV=3 - [RL28_HUMAN],8.03%,1,1,1,1,,,1,,,1,,,8.03%,,,0,137,15.7,12.02
1,P47914,60S ribosomal protein L29 OS=Homo sapiens GN=RPL29 PE=1 SV=2 - [RL29_HUMAN],14.47%,1,2,2,2,1,1,,1,1,,9.43%,5.03%,,0,0,,159,17.7,11.66
1,P39023,60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2 - [RL3_HUMAN],4.96%,1,2,2,8,2,2,2,2,3,3,4.96%,4.96%,4.96%,0,0,0,403,46.1,10.18
1,P62888,60S ribosomal protein L30 OS=Homo sapiens GN=RPL30 PE=1 SV=2 - [RL30_HUMAN],28.70%,1,3,3,6,1,3,2,1,3,2,16.52%,28.70%,28.70%,0,0,0,115,12.8,9.63
1,P62899,60S ribosomal protein L31 OS=Homo sapiens GN=RPL31 PE=1 SV=1 - [RL31_HUMAN],11.20%,1,1,1,1,,1,,,1,,,11.20%,,,0,,125,14.5,10.54
1,P62910,60S ribosomal protein L32 OS=Homo sapiens GN=RPL32 PE=1 SV=2 - [RL32_HUMAN],15.56%,1,2,2,2,,2,,,2,,,15.56%,,,0,,135,15.8,11.33
1,P42766,60S ribosomal protein L35 OS=Homo sapiens GN=RPL35 PE=1 SV=2 - [RL35_HUMAN],8.13%,1,1,1,1,,,1,,,1,,,8.13%,,,0,123,14.5,11.05
1,P18077,60S ribosomal protein L35a OS=Homo sapiens GN=RPL35A PE=1 SV=2 - [RL35A_HUMAN],10.00%,1,1,1,1,,1,,,1,,,10.00%,,,0,,110,12.5,11.06
1,P61513,60S ribosomal protein L37a OS=Homo sapiens GN=RPL37A PE=1 SV=2 - [RL37A_HUMAN],19.57%,1,1,1,1,,1,,,1,,,19.57%,,,0,,92,10.3,10.43
1,P63173,60S ribosomal protein L38 OS=Homo sapiens GN=RPL38 PE=1 SV=2 - [RL38_HUMAN],18.57%,1,1,1,1,,,1,,,1,,,18.57%,,,0,70,8.2,10.1
1,P36578,60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5 - [RL4_HUMAN],13.82%,1,4,4,5,,1,4,,1,4,,3.75%,13.82%,,0,0,427,47.7,11.06
1,Q02878,60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3 - [RL6_HUMAN],23.26%,1,5,5,23,4,3,4,11,7,5,18.75%,15.28%,19.79%,0,2.22,0,288,32.7,10.58
1,P62424,60S ribosomal protein L7a OS=Homo sapiens GN=RPL7A PE=1 SV=2 - [RL7A_HUMAN],23.31%,1,5,5,10,2,3,2,4,4,2,13.53%,11.28%,8.27%,0,0,0,266,30,10.61
1,P32969,60S ribosomal protein L9 OS=Homo sapiens GN=RPL9 PE=1 SV=1 - [RL9_HUMAN],15.10%,1,2,2,7,1,2,1,3,3,1,10.94%,15.10%,10.94%,0,0,0,192,21.8,9.95
1,P11021,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2 - [GRP78_HUMAN],5.81%,1,2,3,4,,1,3,,1,3,,1.83%,5.81%,,0,0,654,72.3,5.16
1,Q02952,A-kinase anchor protein 12 OS=Homo sapiens GN=AKAP12 PE=1 SV=4 - [AKA12_HUMAN],2.41%,1,2,2,7,2,1,1,4,2,1,2.41%,1.18%,1.18%,0,0,0,1782,191.4,4.41
1,Q9BWD1,"Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens GN=ACAT2 PE=1 SV=2 - [THIC_HUMAN]",2.77%,1,1,1,2,1,,1,1,,1,2.77%,,2.77%,0,,0,397,41.3,6.92
1,P24752,"Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens GN=ACAT1 PE=1 SV=1 - [THIL_HUMAN]",3.98%,1,1,1,2,1,,1,1,,1,3.98%,,3.98%,0,,0,427,45.2,8.85
1,Q99798,"Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=1 SV=2 - [ACON_HUMAN]",1.67%,1,1,1,1,,,1,,,1,,,1.67%,,,0,780,85.4,7.61
1,O15143,Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens GN=ARPC1B PE=1 SV=3 - [ARC1B_HUMAN],2.69%,1,1,1,1,,,1,,,1,,,2.69%,,,0,372,40.9,8.35
1,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1 - [ACTB_HUMAN]",46.13%,11,11,14,41,10,6,11,16,11,14,36.00%,27.47%,34.93%,0,0,0,375,41.7,5.48
1,O14561,"Acyl carrier protein, mitochondrial OS=Homo sapiens GN=NDUFAB1 PE=1 SV=3 - [ACPM_HUMAN]",9.62%,1,1,1,1,,,1,,,1,,,9.62%,,,0,156,17.4,4.93
1,O00767,Acyl-CoA desaturase OS=Homo sapiens GN=SCD PE=1 SV=2 - [ACOD_HUMAN],3.62%,1,1,1,1,,,1,,,1,,,3.62%,,,0,359,41.5,9
1,P13798,Acylamino-acid-releasing enzyme OS=Homo sapiens GN=APEH PE=1 SV=4 - [ACPH_HUMAN],1.50%,1,1,1,1,,1,,,1,,,1.50%,,,0,,732,81.2,5.48
1,P46108,Adapter molecule crk OS=Homo sapiens GN=CRK PE=1 SV=2 - [CRK_HUMAN],2.30%,1,1,1,1,,1,,,1,,,2.30%,,,0,,304,33.8,5.55
1,P55263,Adenosine kinase OS=Homo sapiens GN=ADK PE=1 SV=2 - [ADK_HUMAN],4.42%,1,1,1,2,,1,1,,1,1,,4.42%,4.42%,,0,0,362,40.5,6.7
1,P23526,Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4 - [SAHH_HUMAN],9.49%,1,3,3,3,,3,,,3,,,9.49%,,,0,,432,47.7,6.34
1,O60503,Adenylate cyclase type 9 OS=Homo sapiens GN=ADCY9 PE=1 SV=4 - [ADCY9_HUMAN],1.26%,1,1,1,1,,,1,,,1,,,1.26%,,,0,1353,150.6,7.34
1,Q8IWK6,Adhesion G protein-coupled receptor A3 OS=Homo sapiens GN=ADGRA3 PE=1 SV=2 - [AGRA3_HUMAN],1.59%,1,1,1,1,,1,,,1,,,1.59%,,,0,,1321,146.1,8.48
1,P61204,ADP-ribosylation factor 3 OS=Homo sapiens GN=ARF3 PE=1 SV=2 - [ARF3_HUMAN],17.68%,3,2,2,7,1,2,1,3,3,1,12.15%,17.68%,12.15%,0,0,0,181,20.6,7.43
1,P36404,ADP-ribosylation factor-like protein 2 OS=Homo sapiens GN=ARL2 PE=1 SV=4 - [ARL2_HUMAN],7.07%,1,1,1,5,1,1,1,2,2,1,7.07%,7.07%,7.07%,0,0,0,184,20.9,6.34
1,Q15041,ADP-ribosylation factor-like protein 6-interacting protein 1 OS=Homo sapiens GN=ARL6IP1 PE=1 SV=2 - [AR6P1_HUMAN],6.90%,1,1,1,1,,1,,,1,,,6.90%,,,2.01,,203,23.3,9.32
1,P05141,ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=7 - [ADT2_HUMAN],6.71%,3,1,2,2,,,2,,,2,,,6.71%,,,0,298,32.8,9.69
1,P12236,ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4 - [ADT3_HUMAN],4.70%,3,1,2,2,,1,1,,1,1,,2.01%,2.68%,,0,0,298,32.8,9.74
1,P30837,"Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens GN=ALDH1B1 PE=1 SV=3 - [AL1B1_HUMAN]",2.51%,1,1,1,1,,,1,,,1,,,2.51%,,,0,517,57.2,6.8
1,C9JRZ8,Aldo-keto reductase family 1 member B15 OS=Homo sapiens GN=AKR1B15 PE=1 SV=2 - [AK1BF_HUMAN],7.59%,1,1,1,1,,1,,,1,,,7.59%,,,0,,316,36.5,6.7
1,P15121,Aldose reductase OS=Homo sapiens GN=AKR1B1 PE=1 SV=3 - [ALDR_HUMAN],4.11%,1,1,1,2,,1,1,,1,1,,4.11%,4.11%,,0,0,316,35.8,6.98
1,P12814,Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2 - [ACTN1_HUMAN],5.49%,4,4,4,4,1,,3,1,,3,2.02%,,3.48%,0,,0,892,103,5.41
1,P35611,Alpha-adducin OS=Homo sapiens GN=ADD1 PE=1 SV=2 - [ADDA_HUMAN],2.44%,1,1,1,6,1,1,1,4,1,1,2.44%,2.44%,2.44%,0,0,0,737,80.9,5.83
1,P06733,Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2 - [ENOA_HUMAN],28.57%,3,10,10,19,3,4,5,6,6,7,12.21%,11.75%,12.90%,0,2.21,2.02,434,47.1,7.39
1,Q13155,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens GN=AIMP2 PE=1 SV=2 - [AIMP2_HUMAN],2.81%,1,1,1,2,1,1,,1,1,,2.81%,2.81%,,0,0,,320,35.3,8.22
1,P05067,Amyloid beta A4 protein OS=Homo sapiens GN=APP PE=1 SV=3 - [A4_HUMAN],2.08%,1,1,1,2,,1,,,2,,,2.08%,,,0,,770,86.9,4.82
1,Q9UJX4,Anaphase-promoting complex subunit 5 OS=Homo sapiens GN=ANAPC5 PE=1 SV=2 - [APC5_HUMAN],2.38%,1,1,1,1,,,1,,,1,,,2.38%,,,0,755,85,6.87
1,Q13685,Angio-associated migratory cell protein OS=Homo sapiens GN=AAMP PE=1 SV=2 - [AAMP_HUMAN],3.00%,1,1,1,1,,,1,,,1,,,3.00%,,,0,434,46.7,4.42
1,Q8IZ07,Ankyrin repeat domain-containing protein 13A OS=Homo sapiens GN=ANKRD13A PE=1 SV=3 - [AN13A_HUMAN],2.20%,1,1,1,2,,1,1,,1,1,,2.20%,2.20%,,0,0,590,67.6,5.02
1,P08758,Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2 - [ANXA5_HUMAN],2.50%,1,1,1,1,1,,,1,,,2.50%,,,0,,,320,35.9,5.05
1,Q9BXS5,AP-1 complex subunit mu-1 OS=Homo sapiens GN=AP1M1 PE=1 SV=3 - [AP1M1_HUMAN],2.13%,1,1,1,2,,1,1,,1,1,,2.13%,2.13%,,0,0,423,48.6,7.3
1,Q96CW1,AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=1 SV=2 - [AP2M1_HUMAN],2.53%,1,1,1,1,,1,,,1,,,2.53%,,,0,,435,49.6,9.54
1,O00203,AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3 - [AP3B1_HUMAN],0.91%,1,1,1,3,,1,1,,2,1,,0.91%,0.91%,,0,0,1094,121.2,6.04
1,Q5JTC6,APC membrane recruitment protein 1 OS=Homo sapiens GN=AMER1 PE=1 SV=2 - [AMER1_HUMAN],3.52%,1,1,1,1,,1,,,1,,,3.52%,,,0,,1135,124,4.84
1,P53367,Arfaptin-1 OS=Homo sapiens GN=ARFIP1 PE=1 SV=2 - [ARFP1_HUMAN],5.90%,1,1,1,1,,1,,,1,,,5.90%,,,0,,373,41.7,6.7
1,P11511,Aromatase OS=Homo sapiens GN=CYP19A1 PE=1 SV=3 - [CP19A_HUMAN],4.17%,1,1,1,1,1,,,1,,,4.17%,,,0,,,503,57.8,7.5
